countrycode,countryname,year,incomegroup,GDP,NPL,region,specialnotes
NGA,Nigeria,2004,Upper middle income,1.36E11,2.863376564,Sub-Saharan Africa,
NGA,Nigeria,2007,Upper middle income,2.76E11,1.344539703,Sub-Saharan Africa,
NGA,Nigeria,2008,Upper middle income,3.37E11,2.857282293,Sub-Saharan Africa,
NGA,Nigeria,2009,Upper middle income,2.92E11,3.502943318,Sub-Saharan Africa,
NGA,Nigeria,2011,Upper middle income,4.1E11,1.725949889,Sub-Saharan Africa,
NGA,Nigeria,2013,Upper middle income,5.15E11,2.941401671,Sub-Saharan Africa,
NGA,Nigeria,2014,Upper middle income,5.68E11,3.30948194,Sub-Saharan Africa,
