countrycode,countryname,year,incomegroup,GDP,NPL,region,specialnotes
USA,United States,2004,Lower middle income,1.23E13,2.224690089,North America,
USA,United States,2005,Lower middle income,1.31E13,3.580779597,North America,
USA,United States,2009,Lower middle income,1.44E13,2.440864522,North America,
USA,United States,2010,Lower middle income,1.5E13,3.107072633,North America,
USA,United States,2011,Lower middle income,1.55E13,2.066817454,North America,
USA,United States,2014,Lower middle income,1.74E13,10.72651223,North America,
USA,United States,2015,Lower middle income,1.81E13,3.081299154,North America,
USA,United States,2016,Lower middle income,1.86E13,2.044017138,North America,
USA,United States,2017,Lower middle income,1.94E13,1.592739956,North America,
