countrycode,countryname,year,incomegroup,GDP,NPL,region,specialnotes
GBR,United Kingdom,2008,High income,2.89E12,11.4614538,Europe & Central Asia,
GBR,United Kingdom,2009,High income,2.38E12,6.735551705,Europe & Central Asia,
GBR,United Kingdom,2010,High income,2.44E12,0.49956619,Europe & Central Asia,
GBR,United Kingdom,2012,Low income,2.66E12,9.645792199,Europe & Central Asia,
GBR,United Kingdom,2014,Low income,3.02E12,7.781090896,Europe & Central Asia,
