countrycode,countryname,year,incomegroup,GDP,NPL,region,specialnotes
SMR,San Marino,2004,High income,1877328036,1.954943876,Europe & Central Asia,
SMR,San Marino,2005,High income,1958711603,2.059665284,Europe & Central Asia,
SMR,San Marino,2008,High income,2752307016,5.783614563,Europe & Central Asia,
SMR,San Marino,2009,High income,2363156432,2.860837526,Europe & Central Asia,
SMR,San Marino,2011,High income,2054489853,1.320522177,Europe & Central Asia,
SMR,San Marino,2014,Low income,1788510017,4.852287048,Europe & Central Asia,
