countrycode,countryname,year,incomegroup,GDP,NPL,region,specialnotes
UKR,Ukraine,2004,Upper middle income,64819702952,3.580986837,Europe & Central Asia,
UKR,Ukraine,2010,Upper middle income,1.36E11,6.714619549,Europe & Central Asia,
UKR,Ukraine,2011,Upper middle income,1.63E11,4.969976254,Europe & Central Asia,
UKR,Ukraine,2012,Upper middle income,1.76E11,6.422933859,Europe & Central Asia,
UKR,Ukraine,2016,Upper middle income,93355993629,18.76933916,Europe & Central Asia,
UKR,Ukraine,2017,Upper middle income,1.12E11,9.522691211,Europe & Central Asia,
